Table 1
OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
171061,3.9061E+11,3.9061E+11,39,61,7900,2,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,137.3349677,0,137.3349677,136.87214,587,355,278,0.625,99,0.356115108,68,0.244604317,111,0.399280576,277,80,113,84,0.288808664,18,3,11,0,4,0,3,11,0,4,0,0,0,0,4,9,5,0.222222222,2.5936615,4.288674087,0.131509597,0.021918266,0.080366976,0,0.029224355,0,0.021918266,0.080366976,0,0.029224355,0,0,0,0,2.725171098,0,0.064748201,0.850003101,0.580217382,0.850003101,0.449074347,0.206290444,0.175379334,0.195246787,3.0117E-06,0.059504132,0.122033898,15.38888889,5.63618E-07,10.98735755,0,1.681677802,9.305679749,48.17651404,0,9.320277431,4.660138716,55.92166459,0,460,0,0,15,69.90208074,0.025553663,83522,60974,69328,42772,0.000948579,0.683145075,0.000880193,0.693635174,0.001316209,0.248776357,0.001641096,0.272212923,3,7,9,16,10,4624.724741,555785.7964
171082,3.9061E+11,3.9061E+11,39,61,7800,3,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,145.8502808,0,145.8502808,143.6249778,382,211,182,0.534,64,0.351648352,89,0.489010989,29,0.159340659,241,60,90,91,0.248962656,603,49,0,325,173,56,49,0,325,166,56,6,1,0,98,246,259,0.16252073,1.469103796,2.659704502,4.19843407,0.341166284,0,2.2628376,1.204525861,0.389904325,0.341166284,0,2.2628376,1.15578782,0.389904325,0.041775463,0.006962577,0,5.667537865,0,3.313186813,0.805055594,0.693437144,0.652659441,0.562366727,0.869117752,0.765582004,0.760277883,0.454189407,0.775634518,0.571090047,0.399668325,0.548629639,32.21667869,3.837259088,9.839209711,18.54020989,198.9985884,8.776122973,78.98510676,26.32836892,140.4179676,26.32836892,360.76,0,0,19,83.37316825,0.04973822,84409,61307,125937,84232,0.000958653,0.690400046,0.000885,0.697423355,0.002390945,0.451911898,0.003231852,0.536075913,20,10,19,17,17,3336.959928,590248.0956
171083,3.9061E+11,3.9061E+11,39,61,7900,1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,103.1998324,0,103.1998324,103.19983,1063,544,497,0.721,13,0.026156942,236,0.474849095,248,0.498993964,572,157,200,215,0.274475524,111,6,6,62,0,37,6,6,62,0,37,0,0,0,31,33,47,0.279279279,5.271326513,10.30040456,1.075583167,0.058139631,0.058139631,0.600776183,0,0.358527722,0.058139631,0.058139631,0.600776183,0,0.358527722,0,0,0,6.34690968,0,0.22334004,0.726354349,0.625647582,0.726354349,0.484236232,0.409518664,0.394290093,0.392302074,0.144949874,0.189097104,0.325036603,5.153153153,0.015714787,24.44763192,0,3.570209259,20.87742266,132.3537033,0,24.80624184,0,136.4343301,24.80624184,156.91,0,0,10.67,66.1706501,0.010037629,81424,60973,169256,92200,0.000924751,0.665985065,0.000880179,0.693623798,0.003213367,0.607357648,0.003537572,0.586786485,8,8,17,20,15,3367.78664,417643.2378
171115,3.9061E+11,3.9061E+11,39,61,25200,4,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,41.1925584,0,41.1925584,41.1925584,818,437,360,0.703,30,0.083333333,164,0.455555556,166,0.461111111,414,81,154,179,0.195652174,182,4,0,79,99,0,4,0,79,84,0,15,0,0,13,44,125,0.071428571,10.60871228,19.8579557,4.418273763,0.097104918,0,1.917822128,2.403346717,0,0.097104918,0,1.917822128,2.039203275,0,0.364143442,0,0,15.02698604,0,0.505555556,0.707589937,0.483005274,0.727642646,0.485095097,0.648664835,0.464201202,0.461792047,0.823188441,0.364,0.610738255,2.274725275,0.279507746,24.16830309,0,0.385912354,23.78239074,186.4725159,0,15.53678686,15.53678686,77.68393429,108.757508,523.04,0,0,9.33,144.9582214,0.011405868,103918,70875,99742,49514,0.001180221,0.84996851,0.001023119,0.80626813,0.001893627,0.35791385,0.001899776,0.315120889,15,8,19,15,15.16666667,1764.805357,166703.2481
171116,3.9061E+11,3.9061E+11,39,61,25500,3,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,62.6208233,0,62.6208233,62.6208233,712,254,219,0.506,43,0.196347032,75,0.342465753,101,0.461187215,287,81,125,81,0.282229965,35,0,1,0,34,0,0,1,0,33,0,0,1,0,13,17,5,0.371428571,4.056158744,11.37001979,0.558919512,0,0.015969129,0,0.542950383,0,0,0.015969129,0,0.526981254,0,0,0.015969129,0,4.615078256,0,0.159817352,0.187176257,0.080612426,0.235425122,0.124379997,0.381225164,0.346559337,0.385818532,0.278289937,0.093708166,0.217391304,8.2,0.000746586,14.74618431,0,0,14.74618431,95.42640427,0,0,0,112.4226676,20.44048501,881.12,0,0,4,40.88097002,0.005617978,100012,66256,85804,37922,0.001135859,0.818020464,0.000956442,0.753722769,0.00162901,0.307898779,0.001455009,0.241346172,7,2,14,13,10.5,2571.000681,253422.6406
171118,3.9061E+11,3.9061E+11,39,61,26101,3,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,97.1206782,0,97.1206782,97.1206782,1042,424,424,0.581,54,0.127358491,98,0.231132075,272,0.641509434,391,69,144,178,0.176470588,9,9,0,0,0,0,9,0,0,0,0,0,0,0,3,3,3,0.333333333,4.365702627,10.72892014,0.092668216,0.092668216,0,0,0,0,0.092668216,0,0,0,0,0,0,0,4.458370844,0,0.021226415,0,0,0,0,0.145826915,0.095011757,0.10577495,1.60047E-10,0.017126546,0.045,43.44444444,0,17.08754489,0,0,17.08754489,30.7674952,0,0,0,46.12817871,0,-99999,0,0,-99999,-99999,-99999,29863,28784,-99999,-99999,0.000339161,0.244256141,0.000415513,0.3274444,-99999,-99999,-99999,-99999,2,1,8,1,3.5,3494.513343,393041.3288
171119,3.9061E+11,3.9061E+11,39,61,26300,1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,952.4106263,50.3498373,902.060789,889.46062,219,11,11,0.721,0,0,6,0.545454545,5,0.454545455,47,15,15,17,0.319148936,8359,310,1427,3396,2711,515,310,1424,3396,2399,515,0,312,3,1815,2631,3913,0.217131236,0.012367046,0.246216634,9.397830339,0.348525829,1.604343091,3.818044243,3.047914589,0.579002587,0.348525829,1.60097026,3.818044243,2.697140206,0.579002587,0,0.350774383,0.003372831,9.410197385,0,759.9090909,0.824387664,0.824387664,0.742665758,0.694975457,0.745127695,0.565283495,0.526325138,0.368238367,0.051060853,0.011182489,0.005622682,0.369953736,22.28743664,5.775689098,6.497576899,10.01417065,65.29262852,16.31819072,19.86562349,15.60870417,39.73124698,9.932811745,209.21,0,0,40.33,28.61359269,0.184155251,95892,57844,216707,130912,0.001089068,0.784322065,0.00083501,0.658028554,0.004114237,0.777630654,0.005022892,0.833160437,17,15,11,19,15.33333333,9596.663219,3854352.587
171120,3.9061E+11,3.9061E+11,39,61,200,1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,74.8816782,0,74.8816782,69.14923,976,576,521,0.595,313,0.600767754,165,0.316698656,43,0.082533589,510,166,237,107,0.325490196,287,11,16,0,257,3,11,16,0,28,3,90,139,0,51,133,103,0.177700348,8.329810759,14.11440156,4.150443902,0.159076247,0.231383632,0,3.716599592,0.043384431,0.159076247,0.231383632,0,0.404921356,0.043384431,1.301532931,2.010145305,0,12.48025466,0,0.550863724,0.31197586,0.268721379,0.711855166,0.61337297,0.499693021,0.458075246,0.509967271,0.728622806,0.454473476,0.720200753,1.777003484,0.459781692,30.13290547,12.40452222,6.229320095,11.49906316,108.2881714,34.18726799,42.73408498,17.09363399,42.73408498,34.18726799,240.06,0,0.116052802,18,153.8427059,0.018442623,93446,56184,118158,62760,0.001061288,0.764315685,0.000811047,0.639144531,0.002243259,0.423997761,0.002408005,0.399422124,10,12,15,19,15,2535.397581,303042.5179
171121,3.9061E+11,3.9061E+11,39,61,26400,1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,39.1359451,0,39.1359451,27.98566,1267,518,518,0.418,235,0.453667954,249,0.480694981,34,0.065637066,444,175,167,102,0.394144144,9,0,0,0,9,0,0,0,0,3,0,0,6,0,5,4,0,0.555555556,18.5094795,45.27318634,0.321593273,0,0,0,0.321593273,0,0,0,0,0.107197758,0,0,0.214395515,0,18.83107277,0,0.017374517,0,0,0.918295834,0.306098611,0.124702761,0.105269684,0.117194924,3.6705E-09,0.014106583,0.039735099,49.33333333,0,55.46955681,0,16.86911453,38.60044228,687.0982656,0,294.3585487,81.76626352,490.5975811,81.76626352,252.13,0,0.715088466,9.33,152.5758477,0.007363852,102461,60701,134622,82631,0.001163673,0.838051382,0.000876252,0.690529549,0.002555832,0.483077122,0.003170424,0.525886703,2,4,20,18,13.66666667,1646.054321,158382.1727
171122,3.9061E+11,3.9061E+11,39,61,26400,2,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",17140,"Cincinnati, OH-KY-IN",2191667,1052646,1048487,44.9465016,0,44.9465016,44.9465,1048,568,544,0.513,272,0.5,167,0.306985294,105,0.193014706,399,139,137,123,0.348370927,139,0,3,2,134,0,0,3,2,3,0,111,20,0,37,47,55,0.26618705,12.6372465,23.31660975,3.092565606,0,0.06674602,0.044497347,2.981322239,0,0,0.06674602,0.044497347,0.06674602,0,2.46960275,0.444973468,0,15.72981211,0,0.255514706,0.163052084,0.111300363,0.425732487,0.329506741,0.39074744,0.383142439,0.424549089,0.646588554,0.234203875,0.516728625,2.870503597,0.154046065,34.85485619,0,13.17990197,21.67495422,284.8684446,0,56.95660193,85.4349029,199.3481068,28.47830097,223.97,0,0.872599882,17,242.0655582,0.016221374,101445,59639,128274,82539,0.001152134,0.829741291,0.000860922,0.678448325,0.002435314,0.46029798,0.003166894,0.525301189,7,4,20,19,14.83333333,1733.537847,181895.3873
