Table 1
OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
100093,2.1178E+11,2.1178E+11,21,177,960200,3,,,16420,"Central City, KY",31081,8366,11257,1438.783734,96.2224697,1342.561264,1342.561264,1200,473,441,0.356,137,0.310657596,155,0.351473923,149,0.337868481,261,68,114,79,0.260536398,960,443,57,5,47,408,443,57,5,33,408,1,13,0,459,411,90,0.478125,0.352311669,0.89381396,0.715051168,0.32996632,0.042456163,0.003724225,0.035007713,0.303896746,0.32996632,0.042456163,0.003724225,0.024579884,0.303896746,0.000744845,0.009682985,0,1.067362837,0,2.176870748,0.660653455,0.660653455,0.563670111,0.527474021,0.754261157,0.63754939,0.70830399,0.435044133,0.888888889,0.427518428,0.271875,0.482813417,7.70947544,2.256973019,1.263082477,4.189419944,22.41399391,4.767007787,6.673810901,1.430102336,20.49813348,2.860204672,-99999,0,0,-99999,-99999,-99999,6535,6657,-99999,-99999,0.056017487,1,0.051207298,1,-99999,-99999,-99999,-99999,18,9,7,1,7.166666667,10851.99383,5822677.88
100094,2.1158E+11,2.1158E+11,21,157,950100,2,,,,,0,0,0,11069.57616,750.3399064,10319.23626,10319.23626,1359,538,493,0.535,15,0.030425963,51,0.103448276,427,0.866125761,515,125,184,206,0.242718447,1172,24,30,843,275,0,24,30,843,267,0,0,8,0,117,235,820,0.099829352,0.052135641,0.131695793,0.113574297,0.002325754,0.002907192,0.081692092,0.026649259,0,0.002325754,0.002907192,0.081692092,0.025874008,0,0,0.000775251,0,0.165709938,0,2.377281947,0.541450637,0.466380193,0.485561591,0.375813033,0.705760334,0.602679286,0.517604294,0.60700693,0,0,0.439419795,0.570877742,3.195554542,0.487150351,0.988145324,1.720258867,4.508736775,1.48848225,2.418783656,0.49616075,3.411105156,0.124040187,-99999,0,0,-99999,-99999,-99999,7507,6653,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,16,5,4,1,5.166666667,33073.276,44797967.73
100095,2.1158E+11,2.1158E+11,21,157,950300,1,,,,,0,0,0,9704.04646,740.1178736,8963.928586,7283.58197,712,333,301,0.58,7,0.023255814,67,0.222591362,227,0.754152824,288,68,102,118,0.236111111,304,25,31,18,15,215,25,28,18,13,215,0,2,3,137,136,31,0.450657895,0.045719263,0.0977541,0.041737706,0.003432377,0.004256148,0.002471312,0.002059426,0.029518443,0.003432377,0.003844262,0.002471312,0.001784836,0.029518443,0,0.00027459,0.000411885,0.087456969,0,1.009966777,0.620755093,0.620755093,0.540036934,0.505358448,0.667023293,0.503440732,0.550587192,0.50596007,0,0,0.947368421,0.94872948,3.770433844,0.911789096,2.731977804,0.126666944,6.309519253,4.141041469,8.210685671,0.785369934,0.071397267,0,-99999,0,0,-99999,-99999,-99999,4273,4146,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,15,8,4,1,5.5,30189.91791,39271729.23
100096,2.1158E+11,2.1158E+11,21,157,950400,3,,,,,0,0,0,6937.510906,32.7444565,6904.76645,6430.597532,2044,765,715,0.547,11,0.015384615,134,0.187412587,570,0.797202797,823,228,269,326,0.277035237,202,13,94,38,48,9,13,89,38,18,9,0,30,5,55,70,77,0.272277228,0.118962506,0.317855377,0.031412322,0.002021585,0.014617615,0.005909249,0.007464314,0.001399559,0.002021585,0.013840082,0.005909249,0.002799118,0.001399559,0,0.004665196,0.000777533,0.150374828,0,0.282517483,0.824453262,0.824453262,0.812376601,0.760209817,0.457406374,0.471212657,0.50137012,0.119759377,0,0,4.074257426,0.04622394,4.206624885,1.520908652,1.180310952,1.505405281,6.089150199,2.409929448,2.780687825,0.185379188,4.819858896,0.834206347,-99999,0,0,-99999,-99999,-99999,7175,7538,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,9,18,4,1,6.166666667,34749.041,28075713.05
100097,2.1158E+11,2.1158E+11,21,157,950600,1,,,,,0,0,0,9680.82326,3757.402106,5923.421155,5923.16905,1445,1448,741,0.619,40,0.053981107,270,0.36437247,431,0.581646424,614,135,253,226,0.219869707,107,2,1,17,6,81,2,1,17,4,81,0,2,0,45,49,13,0.420560748,0.24446373,0.243957244,0.018064654,0.000337657,0.000168829,0.002870085,0.001012971,0.013675112,0.000337657,0.000168829,0.002870085,0.000675314,0.013675112,0,0.000337657,0,0.262528384,0,0.14439946,0.486271967,0.486271967,0.456711371,0.393527255,0.26667056,0.403710333,0.438525492,0.309251629,0,0,5.738317757,0.008753359,5.540292335,0.009989699,5.484745195,0.045557441,17.40334805,0.324137006,23.98613846,1.404593694,0,0,-99999,0,0,-99999,-99999,-99999,3503,3958,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,4,5,6,1,3.833333333,29621.29643,39177758.36
100098,2.1234E+11,2.1234E+11,21,233,960200,2,,,,,0,0,0,25362.89182,170.2202712,25192.67155,25192.67155,1330,504,413,0.714,7,0.016949153,123,0.297820823,283,0.685230024,469,113,176,180,0.240938166,285,0,188,68,29,0,0,15,68,1,0,0,28,173,81,140,64,0.284210526,0.020005818,0.052793131,0.011312814,0,0.007462488,0.002699198,0.001151128,0,0,0.000595411,0.002699198,3.96941E-05,0,0,0.001111434,0.006867076,0.031318632,0,0.690072639,0.772682036,0.527437544,0.650964909,0.503831237,0.737824716,0.450930221,0.445859427,0.158634777,0,0,1.645614035,0.52434048,1.814443125,0.441126964,1.229601763,0.143714399,1.075919239,0.78753061,1.066976956,0.127021066,0.355658985,0,-99999,0,0,-99999,-99999,-99999,3994,4410,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,17,8,1,1,4.833333333,54502.97532,102642224.6
100099,2.1234E+11,2.1234E+11,21,233,960400,1,,,,,0,0,0,11828.32068,46.4676492,11781.85303,11781.85303,681,437,340,0.608,22,0.064705882,68,0.2,250,0.735294118,328,78,121,129,0.237804878,282,84,24,73,44,57,84,24,73,16,57,0,28,0,116,83,83,0.411347518,0.03709094,0.057800755,0.023935114,0.007129609,0.002037031,0.006195969,0.003734557,0.004837949,0.007129609,0.002037031,0.006195969,0.001358021,0.004837949,0,0.002376536,0,0.061026054,0,0.829411765,0.952700535,0.952700535,0.91283799,0.786550658,0.772403141,0.786775213,0.839801534,0.694853858,0,0,1.163120567,0.849488762,2.301827926,0.639288233,1.056243638,0.606296055,2.66291558,1.24937902,1.683945636,0.054320827,1.901228944,0.217283308,-99999,0,0,-99999,-99999,-99999,4178,4813,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,18,18,3,1,7.333333333,30253.29906,47868560.53
100100,2.1234E+11,2.1234E+11,21,233,960400,2,,,,,0,0,0,16225.54203,249.0236735,15976.51836,15976.51836,1150,561,473,0.553,42,0.088794926,146,0.308668076,285,0.602536998,351,85,135,131,0.242165242,85,7,4,65,1,8,7,4,65,1,8,0,0,0,22,33,30,0.258823529,0.035114033,0.071980639,0.005320308,0.000438143,0.000250367,0.004068471,6.25919E-05,0.000500735,0.000438143,0.000250367,0.004068471,6.25919E-05,0.000500735,0,0,0,0.040434342,0,0.179704017,0.515255543,0.515255543,0.515255543,0.39879544,0.308664111,0.275571748,0.24623935,0.001166091,0,0,4.129411765,0.043743521,1.962634279,0.221742094,1.530084122,0.210808062,1.629751828,1.201763712,1.522234035,0.160235162,0.560823065,0.080117581,-99999,0,0,-99999,-99999,-99999,2217,2799,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,5,6,2,1,2.833333333,49030.05556,65663864.88
100101,2.1234E+11,2.1234E+11,21,233,960400,4,,,,,0,0,0,422.7367032,1.4131649,421.3235383,421.3235383,688,316,254,0.538,42,0.165354331,52,0.204724409,160,0.62992126,233,55,94,84,0.236051502,33,0,0,4,29,0,0,0,4,3,0,0,26,0,12,19,2,0.363636364,0.750017436,1.632949355,0.078324606,0,0,0.009493892,0.068830714,0,0,0,0.009493892,0.007120419,0,0,0.061710295,0,0.828342042,0,0.12992126,0.532835063,0.229479571,0.602226001,0.318168543,0.363435166,0.31769356,0.344844286,0.124869621,0,0,7.060606061,0.002332987,10.6576382,0,0.355270391,10.30236781,59.76138932,0,3.038045311,1.519022656,36.45654373,31.89947577,-99999,0,0,-99999,-99999,-99999,3608,4367,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,6,4,10,1,5.333333333,5770.023869,1710792.497
100102,2.1234E+11,2.1234E+11,21,233,960400,5,,,,,0,0,0,6067.179734,204.438185,5862.741549,5751.84892,719,364,266,0.483,8,0.030075188,107,0.402255639,151,0.567669173,251,60,92,99,0.239043825,13,0,0,0,13,0,0,0,0,4,0,0,9,0,4,5,4,0.307692308,0.063283999,0.125003283,0.002260143,0,0,0,0.002260143,0,0,0,0,0.000695429,0,0,0.001564714,0,0.065544142,0,0.04887218,0,0,0.89049164,0.296830547,0.271752695,0.205957587,0.229289029,0.001910203,0,0,19.30769231,1.11962E-08,2.524671004,0.638637569,1.188844413,0.697189022,3.494337901,1.52829524,1.746623131,0.218327891,1.52829524,1.091639457,-99999,0,0,-99999,-99999,-99999,3126,3843,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,4,4,3,1,2.666666667,39623.86517,24553545.93
